,class,f1_score,avg_pixels
119,Heterothops minutus,0.83,36167
120,Philonthus micans,0.92,55238
121,Quedius nitipennis,0.94,60864
122,Acylophorus glaberrimus,1.0,71718
123,Medon apicalis,1.0,46832
124,Leptacinus formicetorum,1.0,19084
125,Gyrohypnus fracticornis,0.81,53514
126,Gabrius keysianus,1.0,31032
127,Tetartopeus quadratus,0.96,70712
128,Philonthus salinus,0.96,66818
129,Philonthus albipes,0.92,55439
130,Leptacinus intermedius,0.91,32953
131,Staphylinus dimidiaticornis,0.86,488318
132,Euryporus picipes,0.93,141941
133,Philonthus nitidus,1.0,192036
134,Quedius boopoides,0.57,60912
135,Tasgius ater,0.93,352409
136,Leptacinus batychrus,1.0,38358
137,Gabrius austriacus,0.57,29477
138,Philonthus decorus,1.0,210586
139,Quedius fumatus,0.97,90082
140,Xantholinus linearis,0.92,55424
141,Philonthus atratus,0.95,106229
142,Phacophallus parumpunctatus,1.0,44669
143,Gabrius exiguus,1.0,31077
144,Remus sericeus,1.0,33907
145,Platydracus stercorarius,1.0,246956
146,Emus hirtus,1.0,652774
147,Philonthus sanguinolentus,1.0,93296
148,Neobisnius villosulus,0.83,25102
149,Gabronthus thermarum,0.91,18152
150,Quedius fulgidus,0.89,142544
151,Philonthus ebeninus,1.0,107738
152,Bisnius puella,0.92,90449
153,Quedius lucidulus,0.86,53904
154,Othius subuliformis,0.8,42923
155,Philonthus laminatus,0.94,151042
156,Quedius umbrinus,0.86,70786
157,Ochthephilum collare,1.0,42818
158,Ocypus fuscatus,0.93,204285
159,Leptacinus pusillus,0.91,29777
160,Lathrobium fovulum,0.96,55997
161,Quedius brevis,1.0,72361
162,Paederus littoralis,1.0,88793
163,Achenium humile,1.0,66567
164,Paederus fuscipes,1.0,73492
165,Quedius truncicola,1.0,177062
166,Quedius puncticollis,0.91,105024
167,Quedius microps,0.98,41108
168,Quedius longicornis,1.0,122237
169,Quedius simplicifrons,0.93,149891
170,Astenus pulchellus,0.9,19160
171,Quedius mesomelinus,0.84,117566
172,Dinothenarus pubescens,1.0,264386
173,Xantholinus tricolor,1.0,90681
174,Philonthus cognatus,1.0,143526
175,Rugilus orbiculatus,0.95,47246
176,Erichsonius cinerascens,1.0,31519
177,Medon castaneus,1.0,88440
178,Gabrius splendidulus,0.92,31004
179,Platydracus latebricola,1.0,200127
180,Rugilus rufipes,0.99,52616
181,Creophilus maxillosus,1.0,375473
182,Lathrobium elongatum,0.94,81442
183,Philonthus micantoides,1.0,53050
184,Xantholinus longiventris,0.89,63168
185,Lathrobium pallidum,0.95,40011
186,Sunius melanocephalus,0.96,34543
187,Quedius molochinus,0.93,143469
188,Gabrius trossulus,0.86,28876
189,Heterothops dissimilis,0.5,30846
190,Philonthus intermedius,0.96,153261
191,Philonthus alpinus,0.75,54164
192,Quedius picipes,0.87,135228
193,Lathrobium impressum,0.99,40076
194,Philonthus discoideus,1.0,54639
195,Quedius nigriceps,1.0,84779
196,Atrecus longiceps,0.83,59026
197,Quedius curtipennis,0.86,141815
198,Bisnius fimetarius,0.93,74489
199,Lathrobium dilutum,0.67,29593
