,class,f1_score,avg_pixels
150,Quedius fulvicollis,1.0,63223
151,Quedius fumatus,1.0,90082
152,Quedius infuscatus,0.86,49359
153,Quedius lateralis,1.0,200636
154,Quedius longicornis,1.0,122237
155,Quedius lucidulus,0.83,53904
156,Quedius maurorufus,0.83,62529
157,Quedius maurus,0.76,88856
158,Quedius mesomelinus,0.81,117566
159,Quedius microps,1.0,41108
160,Quedius molochinus,0.93,143469
161,Quedius nigriceps,1.0,84779
162,Quedius nigrocaeruleus,1.0,127408
163,Quedius nitipennis,0.77,60864
164,Quedius persimilis,0.73,46743
165,Quedius picipes,1.0,135228
166,Quedius puncticollis,0.9,105024
167,Quedius scintillans,0.82,47511
168,Quedius scitus,0.95,87159
169,Quedius semiaeneus,0.89,75327
170,Quedius simplicifrons,0.88,149891
171,Quedius suturalis,0.94,68204
172,Quedius truncicola,0.89,177062
173,Quedius umbrinus,0.86,70786
174,Quedius xanthopus,0.93,90321
175,Remus sericeus,1.0,33907
176,Rugilus erichsoni,0.92,49075
177,Rugilus orbiculatus,0.95,47246
178,Rugilus rufipes,0.99,52616
179,Scopaeus laevigatus,1.0,16810
180,Scopaeus minutus,0.89,12375
181,Scopaeus sulcicollis,0.88,14122
182,Staphylinus caesareus,0.67,547634
183,Staphylinus dimidiaticornis,0.8,488318
184,Staphylinus erythropterus,0.93,344456
185,Sunius bicolor,0.87,39779
186,Sunius melanocephalus,0.88,34543
187,Tasgius ater,1.0,352409
188,Tasgius globulifer,0.73,218087
189,Tasgius melanarius,0.86,274440
190,Tasgius morsitans,1.0,306524
191,Tetartopeus quadratus,0.96,70712
192,Tetartopeus terminatus,0.96,56185
193,Velleius dilatatus,0.91,535701
194,Xantholinus dvoraki,0.8,72690
195,Xantholinus gallicus,0.0,60881
196,Xantholinus laevigatus,0.73,64134
197,Xantholinus linearis,0.75,55424
198,Xantholinus longiventris,0.75,63168
199,Xantholinus tricolor,0.93,90681
