,class,avg_pixels
128,Ontholestes murinus,241173
129,Quedius auricomus,53067
130,Ochthephilum collare,42818
131,Philonthus decorus,210586
132,Quedius nitipennis,60864
133,Staphylinus erythropterus,344456
134,Quedius persimilis,46743
135,Astenus lyonessius,17030
136,Astenus gracilis,17893
137,Quedius lucidulus,53904
138,Scopaeus laevigatus,16810
139,Quedius brevicornis,144901
140,Lithocharis nigriceps,24370
141,Platydracus fulvipes,276543
142,Quedius brevis,72361
143,Gabrius breviventer,26743
144,Bisnius fimetarius,74489
145,Heterothops praevius,34950
146,Philonthus rubripennis,56638
147,Rugilus rufipes,52616
148,Quedius maurus,88856
149,Philonthus concinnus,75478
150,Medon brunneus,46764
151,Philonthus ventralis,59580
152,Erichsonius cinerascens,31519
153,Quedius mesomelinus,117566
154,Philonthus rectangulus,108409
155,Gabrius trossulus,28876
156,Acylophorus glaberrimus,71718
157,Pseudomedon obscurellus,37545
158,Dinothenarus pubescens,264386
159,Quedius semiaeneus,75327
160,Philonthus nigrita,79507
161,Gyrohypnus atratus,42617
162,Staphylinus caesareus,547634
163,Heterothops minutus,36167
164,Philonthus discoideus,54639
165,Philonthus nitidicollis,83460
166,Lathrobium geminum,86077
167,Ocypus ophthalmicus,411914
168,Euryporus picipes,141941
169,Philonthus micantoides,53050
170,Xantholinus linearis,55424
171,Quedius umbrinus,70786
172,Quedius maurorufus,62529
173,Philonthus furcifer,61351
174,Philonthus salinus,66818
175,Ocypus aeneocephalus,214363
176,Velleius dilatatus,535701
177,Gabrius appendiculatus,25017
178,Pseudomedon obsoletus,39038
179,Quedius cruentus,96899
180,Xantholinus dvoraki,72690
181,Philonthus rufipes,99538
182,Quedius scintillans,47511
183,Phacophallus parumpunctatus,44669
184,Lathrobium dilutum,29593
185,Philonthus confinis,78606
186,Quedius suturalis,68204
187,Quedius truncicola,177062
188,Xantholinus longiventris,63168
189,Heterothops binotatus,34950
190,Ochthephilum fracticorne,40479
191,Philonthus atratus,106229
192,Philonthus longicornis,92277
193,Staphylinus dimidiaticornis,488318
194,Quedius xanthopus,90321
195,Astenus pulchellus,19160
196,Atrecus affinis,61106
197,Tasgius ater,352409
198,Lathrobium impressum,40076
199,Heterothops dissimilis,30846
