class,f1_score,precision,recall,support
Neobisnius lathrobioides,0.98,1.0,0.97,30.0
Paederidus ruficollis,1.0,1.0,1.0,49.0
Philonthus debilis,0.84,0.76,0.95,20.0
Philonthus nitidus,0.98,1.0,0.97,32.0
Platydracus stercorarius,1.0,1.0,1.0,10.0
Quedius levicollis,0.67,0.83,0.56,9.0
Quedius semiobscurus,0.89,0.8,1.0,8.0
Neobisnius villosulus,0.75,0.67,0.86,7.0
Nudobius lentus,0.92,1.0,0.86,14.0
Ochthephilum collare,0.67,1.0,0.5,2.0
Ochthephilum fracticorne,0.97,0.97,0.97,37.0
Ocypus aeneocephalus,0.95,0.9,1.0,9.0
Ocypus brunnipes,0.95,1.0,0.91,11.0
Ocypus fuscatus,0.75,0.75,0.75,8.0
Ocypus nitens,0.93,0.87,1.0,13.0
Ocypus olens,0.91,0.83,1.0,5.0
Ocypus ophthalmicus,0.91,1.0,0.83,6.0
Ocypus picipennis,0.95,1.0,0.91,11.0
Ontholestes murinus,0.96,0.92,1.0,11.0
Ontholestes tessellatus,1.0,1.0,1.0,7.0
Othius angustus,0.8,0.82,0.78,18.0
Othius punctulatus,1.0,1.0,1.0,11.0
Othius subuliformis,0.75,0.69,0.82,11.0
Paederus fuscipes,0.93,0.88,1.0,28.0
Paederus littoralis,1.0,1.0,1.0,38.0
Paederus riparius,0.95,1.0,0.91,56.0
Phacophallus parumpunctatus,0.75,0.6,1.0,6.0
Philonthus addendus,0.59,0.62,0.56,18.0
Philonthus albipes,0.91,0.85,0.97,30.0
Philonthus alpinus,0.67,1.0,0.5,4.0
Philonthus atratus,0.84,0.9,0.79,34.0
Philonthus binotatus,0.86,1.0,0.75,4.0
Philonthus carbonarius,0.8,0.93,0.7,71.0
Philonthus cognatus,0.95,0.98,0.91,70.0
Philonthus concinnus,0.86,0.86,0.86,14.0
Philonthus confinis,0.5,0.4,0.67,3.0
Philonthus corruscus,1.0,1.0,1.0,4.0
Philonthus corvinus,0.82,0.78,0.88,8.0
Philonthus cruentatus,0.76,0.62,1.0,8.0
Philonthus decorus,0.94,0.98,0.91,45.0
Philonthus discoideus,1.0,1.0,1.0,20.0
Philonthus ebeninus,1.0,1.0,1.0,6.0
Philonthus fumarius,1.0,1.0,1.0,16.0
Philonthus furcifer,0.67,1.0,0.5,8.0
Philonthus intermedius,0.8,0.8,0.8,15.0
Philonthus jurgans,0.12,0.12,0.12,8.0
Philonthus laminatus,0.9,0.89,0.91,34.0
Philonthus lepidus,0.96,1.0,0.92,12.0
Philonthus longicornis,0.57,0.67,0.5,16.0
Philonthus mannerheimi,0.56,0.43,0.82,11.0
Philonthus marginatus,1.0,1.0,1.0,33.0
Philonthus micans,0.94,0.94,0.94,18.0
Philonthus micantoides,0.53,0.36,1.0,4.0
Philonthus nigrita,1.0,1.0,1.0,11.0
Philonthus nitidicollis,0.67,1.0,0.5,2.0
Philonthus parvicornis,0.82,0.88,0.78,9.0
Philonthus politus,0.73,0.97,0.59,51.0
Philonthus punctus,0.93,1.0,0.88,8.0
Philonthus quisquiliarius,0.8,0.83,0.77,13.0
Philonthus rectangulus,0.97,0.94,1.0,16.0
Philonthus rubripennis,0.92,0.85,1.0,17.0
Philonthus rufipes,0.67,0.78,0.58,12.0
Philonthus salinus,0.92,1.0,0.85,13.0
Philonthus sanguinolentus,0.97,0.94,1.0,17.0
Philonthus splendens,0.96,0.92,1.0,35.0
Philonthus succicola,0.67,0.61,0.75,44.0
Philonthus tenuicornis,0.66,0.61,0.7,27.0
Philonthus varians,0.73,0.6,0.92,13.0
Philonthus ventralis,0.74,0.88,0.64,11.0
Platydracus fulvipes,1.0,1.0,1.0,7.0
Platydracus latebricola,0.91,0.83,1.0,5.0
Pseudomedon obscurellus,0.95,0.96,0.93,29.0
Pseudomedon obsoletus,0.92,0.86,1.0,12.0
Quedius auricomus,0.89,0.8,1.0,12.0
Quedius boopoides,0.62,0.5,0.83,6.0
Quedius boops,0.63,0.56,0.71,7.0
Quedius brevicornis,0.85,0.85,0.85,13.0
Quedius brevis,0.93,1.0,0.88,8.0
Quedius cinctus,0.93,0.93,0.93,14.0
Quedius cruentus,0.95,0.9,1.0,19.0
Quedius curtipennis,0.53,0.5,0.57,7.0
Quedius fulgidus,1.0,1.0,1.0,5.0
Quedius fuliginosus,0.69,0.75,0.64,14.0
Quedius fulvicollis,1.0,1.0,1.0,2.0
Quedius fumatus,1.0,1.0,1.0,16.0
Quedius infuscatus,0.86,1.0,0.75,4.0
Quedius lateralis,1.0,1.0,1.0,12.0
Quedius longicornis,1.0,1.0,1.0,15.0
Quedius lucidulus,0.83,0.79,0.88,17.0
Quedius maurorufus,0.83,0.79,0.88,17.0
Quedius maurus,0.76,0.73,0.8,10.0
Quedius mesomelinus,0.81,0.92,0.73,15.0
Quedius microps,1.0,1.0,1.0,21.0
Quedius molochinus,0.93,0.93,0.93,14.0
Quedius nigriceps,1.0,1.0,1.0,9.0
Quedius nigrocaeruleus,1.0,1.0,1.0,4.0
Quedius nitipennis,0.77,1.0,0.62,16.0
Quedius persimilis,0.73,0.8,0.67,12.0
Quedius picipes,1.0,1.0,1.0,12.0
