class,f1_score,precision,recall,support
Philonthus cruentatus,0.93,1.0,0.88,8.0
Quedius scintillans,0.94,0.94,0.94,18.0
Megalinus glabratus,1.0,1.0,1.0,7.0
Heterothops niger,0.94,1.0,0.89,9.0
Quedius lateralis,0.96,1.0,0.92,12.0
Philonthus corruscus,1.0,1.0,1.0,4.0
Tasgius morsitans,0.89,0.89,0.89,9.0
Medon ripicola,0.94,0.94,0.94,16.0
Gyrohypnus punctulatus,0.76,0.67,0.88,16.0
Quedius cinctus,1.0,1.0,1.0,14.0
Philonthus longicornis,0.73,0.71,0.75,16.0
Astenus gracilis,0.53,0.56,0.5,18.0
Lathrobium brunnipes,0.99,1.0,0.98,57.0
Bisnius pseudoparcus,0.91,0.83,1.0,5.0
Quedius infuscatus,1.0,1.0,1.0,3.0
Quedius maurus,0.84,0.89,0.8,10.0
Quedius persimilis,0.74,0.62,0.91,11.0
Gabrius breviventer,0.73,0.62,0.88,17.0
Scopaeus minutus,0.92,0.9,0.95,19.0
Bisnius sordidus,0.89,0.88,0.9,50.0
Ocypus nitens,0.96,0.93,1.0,13.0
Tasgius melanarius,0.95,1.0,0.91,11.0
Gauropterus fulgidus,1.0,1.0,1.0,14.0
Xantholinus gallicus,0.8,0.67,1.0,2.0
Gabrius nigritulus,0.89,0.95,0.84,25.0
Philonthus marginatus,0.98,0.97,1.0,32.0
Philonthus rubripennis,0.97,1.0,0.94,16.0
Lathrobium fulvipenne,0.96,0.94,0.98,48.0
Sunius bicolor,0.94,1.0,0.89,18.0
Tasgius globulifer,0.91,0.83,1.0,5.0
Astenus procerus,1.0,1.0,1.0,15.0
Gabrius appendiculatus,0.56,0.83,0.42,12.0
Philonthus rufipes,0.91,1.0,0.83,12.0
Quedius boops,0.67,0.8,0.57,7.0
Quedius cruentus,0.95,0.95,0.95,19.0
Velleius dilatatus,1.0,1.0,1.0,5.0
Neobisnius lathrobioides,1.0,1.0,1.0,30.0
Quedius fulvicollis,1.0,1.0,1.0,2.0
Medon brunneus,1.0,1.0,1.0,16.0
Philonthus jurgans,0.62,0.67,0.57,7.0
Scopaeus sulcicollis,0.88,0.88,0.88,17.0
Philonthus quisquiliarius,0.85,0.85,0.85,13.0
Gyrohypnus angustatus,0.89,0.89,0.89,9.0
Staphylinus caesareus,0.89,1.0,0.8,5.0
Quedius xanthopus,0.92,1.0,0.85,20.0
Lithocharis ochracea,0.94,1.0,0.89,38.0
Bisnius parcus,1.0,1.0,1.0,7.0
Philonthus binotatus,0.86,1.0,0.75,4.0
Quedius nigrocaeruleus,1.0,1.0,1.0,3.0
Pseudomedon obsoletus,1.0,1.0,1.0,12.0
Philonthus varians,0.78,0.9,0.69,13.0
Gyrohypnus atratus,0.95,0.91,1.0,10.0
Ontholestes murinus,1.0,1.0,1.0,11.0
Xantholinus laevigatus,0.67,1.0,0.5,6.0
Philonthus corvinus,0.86,0.86,0.86,7.0
Quedius semiobscurus,0.78,0.7,0.88,8.0
Heterothops stiglundbergi,0.86,0.75,1.0,3.0
Philonthus concinnus,0.89,0.92,0.86,14.0
Philonthus nigrita,0.96,0.92,1.0,11.0
Nudobius lentus,1.0,1.0,1.0,14.0
Philonthus debilis,0.92,0.94,0.89,19.0
Lithocharis nigriceps,0.97,0.94,1.0,16.0
Philonthus furcifer,0.83,1.0,0.71,7.0
Philonthus confinis,0.5,0.4,0.67,3.0
Bisnius cephalotes,0.9,1.0,0.82,34.0
Philonthus fumarius,0.97,1.0,0.94,16.0
Lathrobium rufipenne,0.93,0.95,0.91,22.0
Ocypus picipennis,0.95,0.91,1.0,10.0
Astenus lyonessius,0.8,0.77,0.83,29.0
Ocypus brunnipes,0.95,1.0,0.91,11.0
Rugilus erichsoni,0.93,0.97,0.9,31.0
Atrecus affinis,1.0,1.0,1.0,9.0
Bisnius nitidulus,0.98,0.97,1.0,28.0
Scopaeus laevigatus,1.0,1.0,1.0,2.0
Philonthus parvicornis,0.74,0.7,0.78,9.0
Philonthus politus,0.82,0.93,0.74,50.0
Othius angustus,0.81,0.93,0.72,18.0
Philonthus ventralis,0.87,0.83,0.91,11.0
Heterothops minutus,0.83,0.83,0.83,6.0
Philonthus micans,0.9,0.82,1.0,18.0
Quedius nitipennis,0.88,0.83,0.94,16.0
Acylophorus glaberrimus,0.96,0.92,1.0,11.0
Medon apicalis,0.92,0.86,1.0,12.0
Leptacinus formicetorum,1.0,1.0,1.0,8.0
Gyrohypnus fracticornis,0.61,0.88,0.47,15.0
Gabrius keysianus,0.89,0.8,1.0,8.0
Tetartopeus quadratus,0.93,0.91,0.94,34.0
Philonthus salinus,0.89,0.86,0.92,13.0
Philonthus albipes,0.95,0.91,1.0,30.0
Leptacinus intermedius,0.91,0.83,1.0,5.0
